ILW Percentage,Rho,Max radio,best U,best U*,original U,original U*,T (s) overall,U improvment (%),U* improvement (%)
0.1,0.2,2000.0,0.18525,0.19266,0.18525,0.19266,3783.003154039383,0.0,0.0
0.1,0.2,2500.0,0.18525,0.19266,0.18525,0.19266,3757.382292509079,0.0,0.0
0.1,0.2,3000.0,0.18525,0.19266,0.18525,0.19266,3741.753198623657,0.0,0.0
0.1,0.2,4000.0,0.18525,0.19266,0.18525,0.19266,3757.4199271202087,0.0,0.0
0.1,0.25,2000.0,0.21171428571428572,0.23712,0.21171428571428572,0.23712,3764.7024834156036,0.0,0.0
0.1,0.25,2500.0,0.21171428571428572,0.23712,0.21171428571428572,0.23712,3781.4268963336945,0.0,0.0
0.1,0.25,3000.0,0.21171428571428572,0.23712,0.21171428571428572,0.23712,3848.782606124878,0.0,0.0
0.1,0.25,4000.0,0.21171428571428572,0.23712,0.21171428571428572,0.23712,3809.0607357025146,0.0,0.0
0.1,0.3,2000.0,0.21171428571428572,0.24453,0.21171428571428572,0.24453,3840.6467220783234,0.0,0.0
0.1,0.3,2500.0,0.247,0.284544,0.247,0.26676,3908.9348726272583,0.0,6.666666666666675
0.1,0.3,3000.0,0.247,0.290472,0.247,0.26676,3892.893477201462,0.0,8.888888888888893
0.1,0.3,4000.0,0.247,0.287508,0.247,0.26676,3920.2019917964935,0.0,7.777777777777773
0.1,0.4,2000.0,0.21171428571428572,0.24453,0.21171428571428572,0.24453,3995.860151052475,0.0,0.0
0.1,0.4,2500.0,0.247,0.28158,0.247,0.26676,3920.86460852623,0.0,5.555555555555555
0.1,0.4,3000.0,0.247,0.290472,0.247,0.26676,4020.104187965393,0.0,8.888888888888893
0.1,0.4,4000.0,0.247,0.287508,0.247,0.26676,4002.957213163376,0.0,7.777777777777773
0.2,0.2,2000.0,0.13472727272727272,0.146718,0.13472727272727272,0.146718,3751.208681821823,0.0,0.0
0.2,0.2,2500.0,0.18525,0.19266,0.18525,0.19266,3860.0682168006897,0.0,0.0
0.2,0.2,3000.0,0.18525,0.19266,0.18525,0.19266,3784.752594947815,0.0,0.0
0.2,0.2,4000.0,0.18525,0.19266,0.18525,0.19266,3767.7830862998962,0.0,0.0
0.2,0.25,2000.0,0.13472727272727272,0.146718,0.13472727272727272,0.146718,3758.4633371829987,0.0,0.0
0.2,0.25,2500.0,0.18525,0.20748000000000003,0.18525,0.20748000000000003,3759.427309989929,0.0,0.0
0.2,0.25,3000.0,0.21171428571428572,0.23217999999999997,0.21171428571428572,0.22971,3820.9115312099457,0.0,1.075268817204289
0.2,0.25,4000.0,0.21171428571428572,0.23712,0.21171428571428572,0.23712,3798.5971715450287,0.0,0.0
0.2,0.3,2000.0,0.13472727272727272,0.146718,0.13472727272727272,0.146718,3831.398106098175,0.0,0.0
0.2,0.3,2500.0,0.18525,0.20748000000000003,0.18525,0.20748000000000003,3838.08532166481,0.0,0.0
0.2,0.3,3000.0,0.21171428571428572,0.23217999999999997,0.21171428571428572,0.22971,3951.9078545570374,0.0,1.075268817204289
0.2,0.3,4000.0,0.247,0.278616,0.247,0.26676,4097.846408605576,0.0,4.444444444444436
0.2,0.4,2000.0,0.13472727272727272,0.146718,0.13472727272727272,0.146718,3877.300009727478,0.0,0.0
0.2,0.4,2500.0,0.18525,0.20748000000000003,0.18525,0.20748000000000003,3947.0302073955536,0.0,0.0
0.2,0.4,3000.0,0.21171428571428572,0.23217999999999997,0.21171428571428572,0.22971,3809.605097770691,0.0,1.075268817204289
0.2,0.4,4000.0,0.247,0.284544,0.247,0.26676,3898.6700477600098,0.0,6.666666666666675
